Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,13,0.23,1,0.2255
graphs/WS-1000.adjlist,13,0.235,1,0.2359
graphs/WS-1000.adjlist,13,0.24,1,0.2458
graphs/WS-1000.adjlist,13,0.245,1,0.254
graphs/WS-1000.adjlist,13,0.25,1,0.263
graphs/WS-1000.adjlist,13,0.255,1,0.2684
graphs/WS-1000.adjlist,13,0.26,1,0.2777
graphs/WS-1000.adjlist,13,0.265,1,0.286
graphs/WS-1000.adjlist,13,0.27,1,0.2929
graphs/WS-1000.adjlist,13,0.275,1,0.2988
graphs/WS-1000.adjlist,13,0.28,1,0.3055
graphs/WS-1000.adjlist,13,0.285,1,0.3103
graphs/WS-1000.adjlist,13,0.29,1,0.3156
graphs/WS-1000.adjlist,13,0.295,1,0.3239
graphs/WS-1000.adjlist,13,0.3,1,0.3291
graphs/WS-1000.adjlist,13,0.305,1,0.3337
graphs/WS-1000.adjlist,13,0.31,1,0.3416
graphs/WS-1000.adjlist,13,0.315,1,0.3438
graphs/WS-1000.adjlist,14,0.16,1,0.0239
graphs/WS-1000.adjlist,14,0.165,1,0.0591
graphs/WS-1000.adjlist,14,0.17,1,0.0811
graphs/WS-1000.adjlist,14,0.175,1,0.0973
graphs/WS-1000.adjlist,14,0.18,1,0.1137
graphs/WS-1000.adjlist,14,0.185,1,0.1291
graphs/WS-1000.adjlist,14,0.19,1,0.1438
graphs/WS-1000.adjlist,14,0.195,1,0.1578
graphs/WS-1000.adjlist,14,0.2,1,0.1715
graphs/WS-1000.adjlist,14,0.205,1,0.1834
graphs/WS-1000.adjlist,14,0.21,1,0.1953
graphs/WS-1000.adjlist,14,0.215,1,0.2054
graphs/WS-1000.adjlist,14,0.22,1,0.2156
graphs/WS-1000.adjlist,14,0.225,1,0.2263
graphs/WS-1000.adjlist,14,0.23,1,0.2335
graphs/WS-1000.adjlist,14,0.235,1,0.2455
graphs/WS-1000.adjlist,14,0.24,1,0.253
